fs,iata,name,city,country,timeZoneRegionName,regionName
CDG,CDG,Paris Charles de Gaulle Airport,Paris,FR,Europe/Paris,Europe
IAH,IAH,Houston George Bush Intercontinental Airport,Houston,US,America/Chicago,North America
ASJ,ASJ,Amami Oshima Airport,Amami O Shima,JP,Asia/Tokyo,Asia
TAK,TAK,Takamatsu Airport,Takamatsu,JP,Asia/Tokyo,Asia
OKA,OKA,Naha Airport,Okinawa,JP,Asia/Tokyo,Asia
KOJ,KOJ,Kagoshima Airport,Kagoshima,JP,Asia/Tokyo,Asia
PVG,PVG,Shanghai Pudong International Airport,Shanghai,CN,Asia/Shanghai,Asia
ISG,ISG,Ishigaki Airport,Ishigaki,JP,Asia/Tokyo,Asia
SIN,SIN,Singapore Changi Airport,Singapore,SG,Asia/Singapore,Asia
KMI,KMI,Miyazaki Airport,Miyazaki,JP,Asia/Tokyo,Asia
HIJ,HIJ,Hiroshima Airport,Hiroshima,JP,Asia/Tokyo,Asia
FRA,FRA,Frankfurt Airport,Frankfurt,DE,Europe/Berlin,Europe
OBO,OBO,Tokachi Obihiro Airport,Obihiro,JP,Asia/Tokyo,Asia
FUK,FUK,Fukuoka Airport,Fukuoka,JP,Asia/Tokyo,Asia
YGJ,YGJ,Yonago Miho Airport,Yonago,JP,Asia/Tokyo,Asia
DEL,DEL,Delhi Indira Gandhi International Airport,Delhi,IN,Asia/Kolkata,Asia
LAX,LAX,Los Angeles International Airport,Los Angeles,US,America/Los_Angeles,North America
MMY,MMY,Miyako Airport,Miyakojima,JP,Asia/Tokyo,Asia
CTS,CTS,New Chitose Airport,Sapporo,JP,Asia/Tokyo,Asia
KIX,KIX,Kansai International Airport,Osaka,JP,Asia/Tokyo,Asia
ITM,ITM,Osaka Itami International Airport,Osaka,JP,Asia/Tokyo,Asia
MYJ,MYJ,Matsuyama Airport,Matsuyama,JP,Asia/Tokyo,Asia
GMP,GMP,Seoul Gimpo International Airport,Seoul,KR,Asia/Seoul,Asia
OIT,OIT,Oita Airport,Oita,JP,Asia/Tokyo,Asia
AKJ,AKJ,Asahikawa Airport,Asahikawa,JP,Asia/Tokyo,Asia
HAC,HAC,Hachijojima Airport,Hachijo Jima,JP,Asia/Tokyo,Asia
KMJ,KMJ,Kumamoto Airport,Kumamoto,JP,Asia/Tokyo,Asia
OKJ,OKJ,Okayama Airport,Okayama,JP,Asia/Tokyo,Asia
KUH,KUH,Tancho Kushiro Airport,Kushiro,JP,Asia/Tokyo,Asia
MMB,MMB,Memanbetsu Airport,Memanbetsu,JP,Asia/Tokyo,Asia
NGS,NGS,Nagasaki Airport,Nagasaki,JP,Asia/Tokyo,Asia
SHB,SHB,Nemuro Nakashibetsu Airport,Nakashibetsu,JP,Asia/Tokyo,Asia
FCO,FCO,Rome Leonardo da Vinci Fiumicino Airport,Rome,IT,Europe/Rome,Europe
TSA,TSA,Taipei Songshan Airport,Taipei,TW,Asia/Taipei,Asia
UBJ,UBJ,Yamaguchi Ube Airport,Ube,JP,Asia/Tokyo,Asia
