name,pax,range,id
Airbus A350-1000,350,16100,351
Boeing 787-8,242,13621,788
Boeing 737-800,162,5765,738
Boeing 767-300ER,218,11070,763
Airbus A321neo,180,7400,32Q
Boeing 787-9,290,14140,789
Embraer E190,96,4537,E90
Boeing 747-8 Intercontinental,410,14815,748
Boeing 737-700,126,6230,73G
Airbus A350-900,300,15000,359
Boeing 787-10,330,11910,78J
Airbus A320-200,150,6100,320
Airbus A330-300,277,11750,333
Boeing 767-200ER,181,12200,762
Airbus A320neo,150,6300,32N
Boeing 777-200,305,9700,772
Boeing 737 MAX 8,162,6570,7M8
Boeing 777-300,368,11135,773
Airbus A321-200,185,5950,321
