flightId,finalStatus,flightNumber,arrivalAirportFS,divertedAirport,operatedBy,gate,terminal,flightDuration,carrier,equipment,depTimeScheduled,depTimeActual,arrTimeScheduled,arrTimeActual,timezone
1394844430,Delayed,540,PVG,null,null,131,3,171,China Eastern Airlines,Airbus A330-200,20:00,12:05,21:55,13:56,-6
1395063427,Delayed,576,PVG,null,null,136,3,174,China Eastern Airlines,Boeing 777-300ER,08:40,12:18,10:45,14:12,-6
1395051960,Delayed,81,SHA,null,null,108B,3,179,JAL,Boeing 787-9,09:15,12:31,11:20,14:30,-6
1395065480,Delayed,211,LHR,null,null,73,2,842,ANA,Boeing 777-300ER,09:55,11:57,16:20,17:59,1
1395065290,Delayed,102,IAD,null,null,106A,3,773,ANA,Boeing 787-8,10:20,12:23,10:05,12:16,-4
1395045877,Delayed,21,CTS,null,null,56,2,106,Air Do,Boeing 767-381(ER) Passenger,11:15,11:55,12:45,13:41,9
1395065655,Delayed,471,OKA,null,null,53,2,159,ANA,Boeing 777-300,11:20,12:19,14:00,14:58,9
1395051865,Delayed,659,ASJ,null,null,3,1,112,JAL,Boeing 737-800 (winglets) Passenger/BBJ2,11:25,11:54,13:30,13:46,9
1395051998,On Time,987,OKA,null,null,11,1,143,JAL,Boeing 767-300 Passenger,11:30,11:56,14:05,14:19,9
1395066080,On Time,91,ISG,null,null,64,2,157,ANA,Boeing 787-8,11:40,11:49,14:35,14:26,9
1395051628,On Time,37,SIN,null,null,113,3,395,JAL,Boeing 787-9,11:40,11:49,17:45,17:24,null
1395051425,Delayed,259,HIJ,null,null,4,1,84,JAL,Boeing 737-800 (winglets) Passenger/BBJ2,11:40,12:00,13:00,13:24,9
1395017135,On Time,11,FUK,null,null,19,1,107,Skymark Airlines,Boeing 737-800 (winglets) Passenger/BBJ2,11:45,11:54,13:40,13:41,9
1395043706,Delayed,875,CGK,null,null,141,3,486,Garuda Indonesia,Airbus A330-300,11:45,12:12,17:35,18:18,7
1395058255,On Time,717,FRA,null,null,107B,3,828,Lufthansa,Boeing 747-8 Passenger,11:45,11:48,19:00,18:36,2
1395010075,On Time,357,DEL,null,null,105,3,471,Air India,Boeing 787-8,11:50,11:58,17:30,16:19,JST
