flightId,finalStatus,flightNumber,arrivalAirportFS,divertedAirport,flightDuration,carrier,equipment,depTimeScheduled,depTimeActual,arrTimeScheduled,arrTimeActual
1396211599,Delayed,635,IWK,null,87,ANA,738,11:15,13:10,12:50,14:37
1395691294,On Time,85,PVG,null,177,JAL,763,11:40,11:55,14:00,13:52
1395690849,On Time,37,SIN,null,388,JAL,789,11:40,12:01,17:45,17:29
1395706266,On Time,91,ISG,null,163,ANA,788,11:40,11:44,14:35,14:27
1395682066,On Time,875,CGK,null,446,Garuda Indonesia,333,11:45,11:52,17:35,17:18
1395698183,Delayed,717,FRA,null,862,Lufthansa,748,11:45,11:57,19:00,19:19
1395656008,On Time,11,FUK,null,104,Skymark Airlines,738,11:45,11:51,13:40,13:35
1395649011,On Time,357,DEL,null,469,Air India,788,11:50,11:45,17:30,16:04
1395705437,On Time,1087,YGJ,null,76,ANA,738,11:50,11:53,13:10,13:09
1395691366,Delayed,915,OKA,null,154,JAL,359,11:55,12:15,14:30,14:49
1395639567,On Time,170,LAX,null,621,American Airlines,789,11:55,11:50,06:25,06:11
1395690879,On Time,317,FUK,null,101,JAL,763,11:55,12:00,13:40,13:41
1395691168,On Time,647,KOJ,null,92,JAL,738,12:00,12:02,13:45,13:34
1395635318,Cancelled,57,KMI,null,95,Solaseed Air,732,12:00,12:00,13:35,13:35
1395635606,On Time,23,KIX,null,70,StarFlyer,32N,12:00,12:11,13:30,13:21
1395706026,Delayed,63,CTS,null,94,ANA,78J,12:00,12:22,13:35,13:56
1395705665,On Time,23,ITM,null,59,ANA,738,12:00,12:05,13:10,13:04
1395706226,On Time,87,MMY,null,161,ANA,788,12:00,12:09,14:50,14:50
1395705964,Delayed,589,MYJ,null,95,ANA,789,12:05,12:11,13:30,13:46
1395690963,Delayed,435,MYJ,null,92,JAL,738,12:05,12:21,13:30,13:53
1395708933,On Time,1075,GMP,null,130,Asiana Airlines,333,12:05,12:04,14:25,14:14
1395691216,Delayed,665,OIT,null,98,JAL,738,12:10,12:17,13:40,13:55
1395684536,On Time,83,AKJ,null,90,Air Do,762,12:15,12:17,13:50,13:47
1395706031,On Time,655,OKJ,null,79,ANA,32N,12:15,12:24,13:35,13:43
1395635300,On Time,15,KMJ,null,107,Solaseed Air,738,12:15,12:19,14:05,14:06
1395705626,On Time,1893,HAC,null,58,ANA,738,12:15,12:13,13:10,13:11
1395691058,On Time,543,KUH,null,103,JAL,738,12:15,12:25,13:55,14:08
1395656110,Delayed,713,CTS,null,106,Skymark Airlines,738,12:20,12:33,14:00,14:19
1395635657,On Time,47,FUK,null,108,StarFlyer,32N,12:20,12:23,14:15,14:11
1395691060,On Time,567,MMB,null,99,JAL,763,12:25,12:35,14:10,14:14
1395691092,On Time,609,NGS,null,105,JAL,738,12:30,12:29,14:15,14:14
1395690275,On Time,117,ITM,null,69,JAL,738,12:30,12:30,13:35,13:39
1395705754,Delayed,377,SHB,null,106,ANA,32Q,12:30,12:40,14:10,14:26
1395656002,On Time,13,FUK,null,106,Skymark Airlines,7M8,12:35,12:38,14:30,14:24
